i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
122,0,0,4.1746e-08,1.47509e-12,2,6.82942e-16,274,2.31767e-11,20,1.13043e-14,241,4.24142e-10,23,4.12329e-08,2694,0,0,0,0,3.7414e-11,3,3.41139e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2027e-13,2,0,0,0,0,0,0,2.45742e-13,1,0,0,2.24614e-11,10,0,0,0,0,3.56144e-13,1,0,0,0,0,0,0,0,0
123,0,0,3.99059e-08,2.38955e-12,2,4.81067e-16,272,1.3575e-11,22,7.41018e-15,239,2.02842e-10,13,3.96507e-08,2337,3.15471e-15,1,0,0,1.99779e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70583e-12,1,0,0,0,0,0,0,1.865e-12,2,0,0,1.27984e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,3.57491e-08,1.48878e-12,2,6.94266e-16,260,7.68088e-12,17,8.38077e-15,236,8.48491e-11,7,3.56429e-08,1890,0,0,0,0,3.04192e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5561e-12,3,0,0,0,0,0,0,0,0,0,0,3.38958e-12,4,0,0,1.13983e-12,1,0,0,0,0,0,0,0,0,0,0
125,0,0,2.78487e-08,1.46852e-12,2,4.17915e-16,255,1.90638e-11,15,9.26488e-16,235,1.21983e-10,8,2.77001e-08,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12106e-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,1.8671e-08,1.56088e-12,2,6.1772e-16,256,5.33315e-12,13,6.8786e-15,233,1.17295e-10,10,1.85262e-08,857,3.61408e-15,1,0,0,7.26296e-12,3,0,0,5.95827e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32746e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,8.51255e-09,0,1,6.7722e-16,248,6.11439e-12,14,9.03897e-16,230,9.42188e-12,2,8.49372e-09,399,0,0,0,0,9.76784e-13,1,0,0,0,0,2.32021e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,3.1245e-09,0,1,3.23593e-16,243,8.40032e-12,11,8.49031e-15,225,1.20614e-13,1,3.11362e-09,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72396e-13,1,0,0,0,0,0,0,0,0,0,0,2.1754e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,6.50337e-10,0,1,1.22868e-15,250,8.66199e-12,22,3.97076e-14,224,1.20804e-11,5,6.23289e-10,37,5.1864e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10049e-13,1,0,0,0,0,0,0,0,0,0,0,5.94974e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,1.62394e-10,0,1,9.1891e-16,239,8.24791e-12,18,3.68965e-14,221,2.00128e-11,5,1.34095e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,1.12463e-10,0,1,2.35968e-16,241,1.20995e-11,14,5.70446e-14,219,6.07078e-11,5,2.32806e-11,1,4.13224e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13493e-11,1,0,0,8.35856e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1.01038e-10,0,1,5.15119e-16,239,1.69823e-11,21,1.96955e-15,218,3.89863e-11,3,0,0,4.02394e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07627e-12,2,0,0,0,0,0,0,0,0,0,0,1.75099e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,6.01604e-11,0,1,5.62645e-16,235,1.61431e-11,18,3.40513e-14,215,7.87981e-13,2,0,0,3.6655e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53967e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,1.65301e-11,0,1,7.24665e-16,231,5.42081e-12,15,5.30351e-14,213,1.10556e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,5.32108e-11,0,1,1.12829e-16,228,4.05877e-12,6,5.76375e-15,211,2.74916e-11,5,0,0,0,0,0,0,1.03498e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93015e-12,2,0,0,0,0,0,0,0,0,0,0,4.37458e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,3.16371e-11,6.42327e-13,2,3.97947e-16,226,7.4809e-12,13,3.72793e-14,208,2.0557e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91921e-12,1,0,0,0,0,0,0,0,0,0,0,3.6042e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,3.85078e-11,2.96589e-12,2,1.24031e-15,236,6.58295e-12,24,5.09476e-14,206,2.16227e-11,5,0,0,3.90545e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16931e-12,4,0,0,0,0,0,0,0,0,0,0,1.10772e-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,3.94943e-11,0,1,2.1438e-15,236,8.63904e-12,33,5.59762e-14,203,2.38472e-11,5,0,0,4.68668e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28317e-13,1,0,0,0,0,0,0,6.71692e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,7.39431e-11,0,0,4.20797e-16,224,6.23667e-12,14,3.04422e-14,202,4.3072e-11,4,0,0,0,0,0,0,1.19487e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89177e-14,1,1.25859e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,3.84194e-11,0,0,2.18365e-15,247,6.15171e-12,37,3.53138e-16,197,2.23524e-11,8,0,0,8.77316e-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90393e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,5.58444e-11,0,0,7.86518e-16,220,9.55527e-12,17,6.75982e-15,194,4.32122e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46406e-12,2,0,0,0,0,0,0,0,0,0,0,6.05343e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,8.38899e-11,0,0,1.68432e-16,216,9.64553e-12,10,7.31059e-15,193,7.2156e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15235e-14,1,0,0,0,0,0,0,0,0,0,0,2.03944e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,6.32046e-11,0,0,2.33127e-16,212,1.82712e-11,15,9.96978e-15,191,3.45669e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18448e-12,1,0,0,0,0,0,0,0,0,0,0,9.17187e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,4.05644e-11,0,0,7.9707e-16,212,7.16947e-12,16,2.97317e-14,191,3.2792e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72424e-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,2.60945e-11,0,0,1.02253e-15,218,4.79098e-12,19,4.34851e-15,189,2.10332e-11,8,0,0,1.87867e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7052e-13,1,0,0,0,0,0,0,9.24904e-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,1.4566e-11,0,0,1.07715e-16,206,5.57796e-12,7,8.14814e-14,183,8.90644e-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,2.86244e-11,0,0,1.01818e-15,213,6.75671e-12,23,2.20791e-17,181,1.4454e-11,5,0,0,4.11665e-15,1,0,0,7.4086e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,1.76552e-11,0,0,1.12829e-16,199,1.03404e-11,8,2.63719e-15,178,7.31204e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,1.83757e-11,0,0,3.82727e-16,199,8.84313e-12,10,6.12361e-15,176,9.52602e-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,3.87261e-11,0,0,8.52836e-16,207,5.47153e-12,20,2.66132e-15,173,3.17559e-11,6,0,0,2.34598e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49284e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,4.41697e-11,0,0,1.30712e-15,201,3.6996e-12,16,1.03658e-14,171,4.02975e-11,4,0,0,2.24121e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58747e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,1.30479e-11,0,0,2.3061e-16,194,4.04727e-12,7,9.91932e-15,170,8.77492e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15575e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,1.94568e-11,0,0,2.0013e-16,190,5.13636e-12,9,2.22925e-14,169,1.42018e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61789e-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,2.01013e-11,0,0,4.62763e-16,190,4.29695e-12,10,6.14196e-14,169,1.49345e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08003e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,2.8136e-11,0,0,4.5221e-16,191,5.15841e-12,10,9.15519e-18,168,1.62646e-11,3,0,0,0,0,0,0,5.65031e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06226e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,1.11427e-10,6.52917e-14,1,1.50197e-15,201,1.06412e-11,24,3.27305e-14,166,9.24593e-11,7,0,0,4.97918e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09234e-12,1,0,0,0,0,0,0,0,0,0,0,5.12949e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,3.52883e-11,7.04453e-13,1,9.80618e-16,192,8.6867e-12,15,2.57538e-16,164,2.23715e-11,2,0,0,4.99211e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51935e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,5.28932e-11,6.72173e-13,1,1.89212e-16,184,7.73038e-12,6,1.91131e-15,162,4.44886e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,4.89702e-11,6.64252e-13,1,5.75917e-17,179,3.41453e-12,5,1.0933e-14,162,4.47612e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19235e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,3.19259e-11,1.18471e-12,1,3.42547e-16,178,3.65452e-12,7,1.77482e-14,161,2.16636e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40491e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,8.94833e-12,1.03988e-12,1,5.38577e-16,176,7.00101e-12,9,2.70904e-14,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79803e-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,8.7926e-12,1.22961e-12,1,2.67949e-16,174,3.95332e-12,6,9.69702e-15,158,3.59971e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,1.25126e-11,2.0292e-12,1,2.94168e-16,171,1.22915e-12,5,5.42955e-14,156,9.13539e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42831e-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,9.87714e-11,4.74572e-12,1,3.99732e-16,167,1.40414e-12,7,2.22187e-14,154,9.25989e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,4.27027e-11,0,0,1.15021e-16,164,1.25521e-12,4,2.56197e-16,153,4.12225e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24606e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,2.8e-11,0,0,5.52377e-17,162,1.58745e-12,3,2.33622e-14,151,1.18769e-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28004e-12,1,0,0,0,0,0,0,0,0,0,0,6.23221e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,4.33498e-11,0,0,0,159,1.86944e-12,3,1.0058e-14,145,8.63384e-12,2,0,0,0,0,0,0,1.14348e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11704e-11,1,0,0,0,0,0,0,0,0,0,0,2.31193e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,2.66208e-11,0,0,7.24259e-16,161,3.53705e-12,10,1.59639e-14,140,1.64993e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56774e-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,3.51818e-11,0,0,1.70421e-16,157,3.09342e-12,8,3.78512e-14,136,3.20504e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,1.88769e-11,0,0,2.33127e-16,153,3.49168e-12,8,1.80915e-16,136,1.50944e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90404e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,1.39924e-11,0,0,1.53091e-16,148,4.04025e-12,7,1.7814e-14,135,1.11045e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68613e-12,1,0,0,0,0,0,0,0,0,0,0,1.37583e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,1.68682e-11,0,0,2.88892e-16,144,7.44583e-12,9,1.13253e-14,132,9.41079e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,4.45492e-12,0,0,1.73871e-16,143,2.93672e-12,4,8.19958e-18,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51802e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,3.6858e-12,0,0,1.73871e-16,136,3.66304e-12,5,2.25867e-14,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,3.12873e-11,0,0,3.64869e-17,134,5.84851e-12,4,0,126,2.05206e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91815e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,1.21448e-10,0,0,1.12829e-16,132,6.39005e-12,5,3.90799e-14,125,5.77711e-12,1,0,0,0,0,0,0,1.09242e-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,8.34901e-12,0,0,7.29738e-17,131,6.42898e-12,6,3.98583e-15,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91597e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,7.71973e-13,0,0,2.12712e-16,127,7.69314e-13,4,2.44632e-15,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,9.23377e-12,0,0,1.09461e-16,126,1.75614e-12,4,0,120,7.47751e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,2.46137e-12,0,0,7.12692e-17,126,2.45252e-12,4,8.7821e-15,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,4.89379e-12,0,0,2.33654e-16,125,3.91032e-12,7,4.17202e-14,120,6.50135e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91381e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,4.17582e-12,0,0,1.12829e-16,122,4.17527e-12,6,4.3486e-16,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,3.35101e-12,0,0,2.33816e-16,119,3.27613e-12,6,7.46413e-14,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,6.11124e-12,0,0,5.75917e-17,120,6.11118e-12,5,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,4.70574e-12,0,0,1.86453e-16,120,4.51898e-12,7,8.87048e-15,114,1.77707e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,9.96058e-12,0,0,2.37266e-16,117,5.9855e-12,7,1.62611e-16,113,1.11179e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8635e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,1.07638e-11,0,0,9.17246e-17,116,4.17236e-12,6,0,112,6.59131e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,1.83131e-11,0,0,1.07715e-16,115,2.63614e-12,5,9.32487e-15,110,1.56676e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,4.041e-12,0,0,1.76225e-16,115,3.97608e-12,7,0,109,6.47445e-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,7.42897e-11,0,0,2.0013e-16,115,5.33394e-12,7,1.02572e-15,107,0,0,0,0,0,0,0,0,6.89546e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,2.41893e-11,0,0,1.07756e-16,112,6.27752e-12,10,0,105,1.79117e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,5.84595e-12,0,0,1.07715e-16,111,5.84585e-12,8,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,7.92851e-12,0,0,4.71651e-16,110,7.92797e-12,12,6.83024e-17,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,8.48274e-12,0,0,4.62397e-16,110,7.72786e-12,13,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54416e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,1.44668e-11,0,0,1.72613e-16,105,2.57365e-12,7,5.45297e-15,105,6.42952e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.458e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,4.00055e-12,0,0,0,105,3.43723e-12,3,1.39593e-16,102,5.63178e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,6.53837e-11,0,0,1.30565e-16,104,8.81755e-12,6,3.47286e-14,102,2.18721e-11,3,0,0,0,0,0,0,3.46592e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,8.75352e-12,0,0,2.13808e-16,104,8.75248e-12,8,8.26858e-16,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,6.62007e-11,0,0,0,105,5.75166e-12,4,4.73812e-17,97,1.14859e-12,2,0,0,3.88531e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16307e-11,1,8.81655e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0